name,manufacturer
아토반젯정10/10밀리그램,한국유니온제약(주)
"유틸린정
(애엽95%에탄올연조엑스(20→1))",유니메드제약(주)
라베라엠정10밀리그램(라베프라졸나트륨),맥널티제약(주)
액시드캡슐150밀리그람(니자티딘),(주)대웅제약
스파탐주10%(아세틸시스테인),명인제약(주)
아로탈정(아세클로페낙)(수출명:아로세탈정(Arocetaltablet)),명문제약(주)
코큐텐비타알부정,일양약품(주)
포리부틴정150mg(트리메부틴말레산염),삼일제약(주)
덴타자임캡슐,(주)유한양행
리큅정1밀리그램(로피니롤염산염),(주)글락소스미스클라인
바이모틴정5밀리그램(모사프리드시트르산염수화물),(주)바이넥스
카세핀정25밀리그램(쿠에티아핀푸마르산염),한림제약(주)
한림펜타닐주사(펜타닐시트르산염),한림제약(주)
덱스트론정300밀리그램(덱시부프로펜),대화제약(주)
리세본정(리세드론산나트륨일수화물),(주)씨엠지제약
넬슨프레가발린캡슐150mg(프레가발린),한국넬슨제약(주)
리프릴크림,동성제약(주)
글리미드정2mg(글리메피리드),구주제약(주)
테르비쿨크림,신일제약(주)
판토록정20밀리그램(판토프라졸나트륨세스키히드레이트),한국다케다제약(주)
이텍스세프트리악손주1그람(세프트리악손나트륨수화물),(주)테라젠이텍스
레보컨시드정(레보설피리드),한국넬슨제약(주)
큐티핀정25밀리그램(쿠에티아핀푸마르산염),일동제약(주)
웰시연질캡슐,(주)테라젠이텍스
헤모큐수정,(주)대웅제약
트리도파정75/18.75/200밀리그램,제일약품(주)
휴페나신정5밀리그램(솔리페나신숙신산염),(주)휴온스
휴페나신정10밀리그램(솔리페나신숙신산염),(주)휴온스
니코에이껌(니코틴폴라크릴렉스),신일제약(주)
에소리움정20mg(에스오메프라졸마그네슘이수화물)(수출명 : FRIGERD tablet 20mg),(주)씨티씨바이오
스피리바흡입용캡슐(티오트로퓸브롬화물수화물),한국베링거인겔하임(주)
토라맥정(토피라메이트),(주)팜젠사이언스
로페트정(펜터민염산염),(주)팜젠사이언스
0.9%엔에이시엘.케이40주,제이더블유생명과학(주)
